Date,Close,High,Low,Open,Volume
2026-03-02,71.2300033569336,75.33000183105469,69.19999694824219,75.0,881329
2026-03-03,74.55999755859375,77.9800033569336,70.41000366210938,71.2300033569336,1009753
2026-03-04,74.66000366210938,77.2300033569336,73.27999877929688,74.73999786376953,617822
2026-03-05,81.01000213623047,82.16000366210938,74.97000122070312,76.1500015258789,707030
2026-03-06,90.9000015258789,92.61000061035156,78.23999786376953,79.08000183105469,996251
2026-03-09,94.7699966430664,119.4800033569336,81.19000244140625,98.0,1107193
2026-03-10,83.44999694824219,91.4800033569336,76.7300033569336,85.75,801564
2026-03-11,87.25,88.98999786376953,81.79000091552734,86.88999938964844,538020
2026-03-12,95.7300033569336,97.19000244140624,88.61000061035156,89.31999969482422,548999
2026-03-13,98.70999908447266,99.31999969482422,92.04000091552734,96.73999786376952,436700
2026-03-16,93.5,102.44000244140624,92.93000030517578,100.93000030517578,455454
2026-03-17,96.20999908447266,98.41999816894533,93.83000183105467,94.41000366210938,308425
2026-03-18,96.31999969482422,100.5500030517578,91.95999908447266,96.0,157222
2026-03-19,96.13999938964844,101.4800033569336,92.8000030517578,99.12999725341795,118719
2026-03-20,98.31999969482422,99.66999816894533,93.41999816894533,95.0,461845
2026-03-23,88.12999725341797,101.66999816894533,84.37000274658203,100.51000213623048,666790
2026-03-24,92.3499984741211,93.36000061035156,86.33999633789062,88.77999877929688,420067
2026-03-25,90.31999969482422,91.7300033569336,86.45999908447266,88.48999786376953,405170
2026-03-26,94.4800033569336,95.44000244140624,89.51000213623047,91.37999725341795,350768
2026-03-27,99.63999938964844,101.23999786376953,92.08000183105469,93.30999755859375,374920
2026-03-30,102.87999725341797,105.36000061035156,99.43000030517578,102.5999984741211,374075
2026-03-31,101.37999725341797,106.86000061035156,99.62000274658203,105.06999969482422,495395
2026-04-01,100.12000274658203,103.30999755859375,96.5,101.72000122070312,434561
2026-04-02,111.54000091552734,113.97000122070312,97.5,98.91999816894531,0
2026-04-06,112.41000366210938,115.4800033569336,108.88999938964844,112.95999908447266,271742
2026-04-07,112.94999694824219,117.62999725341797,109.19999694824219,112.62000274658203,429331
2026-04-08,94.41000366210938,109.19000244140625,91.05000305175781,108.73999786376953,599576
2026-04-09,97.87000274658203,102.69999694824219,95.25,96.77999877929688,427201
2026-04-10,96.56999969482422,100.41999816894531,95.51000213623047,98.2300033569336,314855
2026-04-13,99.08000183105469,105.62999725341797,97.02999877929688,102.0,344337
2026-04-14,91.27999877929688,98.0,91.05999755859375,97.98999786376953,315821
2026-04-15,91.29000091552734,93.30000305175781,86.95999908447266,92.0199966430664,240397
2026-04-16,94.69000244140625,95.44000244140625,90.5199966430664,91.47000122070312,194354
2026-04-17,83.8499984741211,94.04000091552734,80.55999755859375,93.18000030517578,116624
2026-04-20,89.61000061035156,91.19999694824219,87.0199966430664,89.0,115578
2026-04-21,92.12999725341797,94.44999694824219,87.76000213623047,87.88999938964844,383596
2026-04-22,92.95999908447266,93.7300033569336,87.63999938964844,90.0,299675
2026-04-23,95.8499984741211,98.38999938964844,92.30000305175781,92.9000015258789,365210
2026-04-24,94.4000015258789,97.8499984741211,92.68000030517578,96.62000274658203,330280
2026-04-27,96.37000274658203,97.66999816894531,94.58999633789062,95.5999984741211,219055
2026-04-28,99.93000030517578,101.8499984741211,96.23999786376953,96.66999816894531,281078
2026-04-29,106.87999725341797,108.5999984741211,98.41999816894531,99.70999908447266,318841
2026-04-30,105.06999969482422,110.93000030517578,103.33999633789062,109.06999969482422,318841
2026-05-01,104.06999969482422,106.6500015258789,103.94999694824219,105.13999938964844,51325
